category,datetime,headline,id,image,related,source,summary,url,headline_sentiment,summary_sentiment
company,1706713560,A Bull Market Is Here. 3 Top Stocks to Buy Like There's No Tomorrow,125434033,https://g.foolcdn.com/editorial/images/763020/gettyimages-904880170.jpg,AAPL,Yahoo,These stocks could soar in a bull market environment.,https://finnhub.io/api/news?id=1bba76f86e4dbe372b85e1019a3ad34ffc878724bc1c3ef421cb6ac105c017d1,0.5,0.0
company,1706711090,"Why Microsoft, Google, and AMD's stocks are getting hit after big quarters",125429649,https://s.yimg.com/ny/api/res/1.2/H86XIIjlq.PKFe_OQJbLbA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2024-01/209f6120-c040-11ee-86f7-32dd14732136,AAPL,Yahoo,When close to perfect earnings just isn't enough for bullish investors.,https://finnhub.io/api/news?id=087f94ac2f3344f7bc973a1a134a64536a834222d3e87bee22e361085970aa21,0.0,0.5
company,1706710860,"The Zacks Analyst Blog Highlights Apple, Visa, Novo Nordisk, PepsiCo and CrowdStrike Holdings",125432257,https://media.zenfs.com/en/zacks.com/94c0837ea9da6deb62281b5d5d41e8ad,AAPL,Yahoo,"Apple, Visa, Novo Nordisk, PepsiCo and CrowdStrike Holdings are part of the Zacks Analyst Blog.",https://finnhub.io/api/news?id=1be870a7b6c54024616679ca77bbf13f35ef6a9e4ec6feb84ef1ca02c0c71e50,0.0,0.0
company,1706709000,Should You Buy Apple (AAPL) Ahead of Earnings?,125434437,https://media.zenfs.com/en/zacks.com/0a9b2d908daa277030d350cbcab5087f,AAPL,Yahoo,Apple (AAPL) is seeing favorable earnings estimate revision activity and has a positive Zacks Earnings ESP heading into earnings season.,https://finnhub.io/api/news?id=6068d67ad648a3025e6547f10259f34c98191ecf9fc9d371ec1a12597cb7b642,0.0,0.22727272727272727
company,1706707800,4 Reasons to Buy Apple Stock Like There's No Tomorrow,125434438,https://g.foolcdn.com/editorial/images/762957/investor-reviewing-a-stock-portfolio.jpg,AAPL,Yahoo,"A poor January caps off several lackluster months for the stock. Now, take a step back and look at the bigger picture.",https://finnhub.io/api/news?id=b6b74be5c7ea32326755d7cdd308a26d630ee4694dd6e9eac97227ef4ce0c230,0.0,-0.1
company,1706705220,Gen Digital (GEN) to Report Q3 Earnings: What's in the Cards?,125430090,https://media.zenfs.com/en/zacks.com/69287b4cbf03894d9df83a7d49330362,AAPL,Yahoo,"While increased demand for cybersecurity and ID analytics solutions is expected to have aided Gen Digital's (GEN) Q3 revenues, higher interest expenses and the equity dilution impact are likely to have weighed on the bottom line.",https://finnhub.io/api/news?id=0740df358e90281ae6decb55294ce936583d3568cb9668957455117297702f21,0.0,0.0375
company,1706704200,"Move Over, Apple -- Microsoft Is the New Largest Company in the World",125434440,https://g.foolcdn.com/editorial/images/762924/stock-investor-looking-at-a-computer-screen-celebrating.jpg,AAPL,Yahoo,Microsoft's strong start to 2024 has caused it to overtake Apple.,https://finnhub.io/api/news?id=fd46c3f33673241e72efb99260b696af91ca35a426e2cae0fea9d7141ef668e0,0.13636363636363635,0.43333333333333335
company,1706703540,Market Forecast Based On Earnings So Far,125439599,,AAPL,TalkMarkets,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=983285979646f49782d6ac9f63dce5c9c78fd671f69ed3b60d20a7c0af75c416,0.1,0.13333333333333333
company,1706703000,Apple Q1 earnings preview: China headwinds expected in 2024,125439600,,AAPL,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=1a2001e0d0af6116427b2d0dbf204caef4ed039b84c579e93b1f91c57c315069,-0.1,0.13333333333333333
company,1706702340,"Microsoft, Alphabet Fall Foul of Great Expectations but Apple May Not and 5 Other Things to Know Before the Stock Market Opens.",125431482,https://s.yimg.com/ny/api/res/1.2/sDtvhRT7f8PgtivqM8LYLw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02MDA-/https://media.zenfs.com/en/Barrons.com/0339ab5bbee9ed39630c3efcb2cf3498,AAPL,Yahoo,"Elon Musk’s pay package at Tesla voided by court, GM’s robust 2024 outlook includes plug-in hybrids, and other news to start your day.",https://finnhub.io/api/news?id=324640948bdcd70e205dc96869688b99b08dd5aa61a521c8cd41cbb2b544b35c,0.3375,-0.125
company,1706702107,Microsoft Fiscal Q2: Leading The AI Race With Growing Profits And Margins,125432663,,AAPL,SeekingAlpha,,https://finnhub.io/api/news?id=c6f7f7453f45b91e7c32f8e772df133d8898e5f30d1a5227140c140f99341305,0.0,0.0
company,1706701680,Buffett’s Bargains: 3 Berkshire Stocks to Buy While They Are Still Cheap,125439601,,AAPL,InvestorPlace,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=c8e8890b1eec5d89bfd563cf24d8172f0611519b41d80b85a420e7ab0a0f1210,0.45,0.13333333333333333
company,1706701200,10 Information Technology Stocks With Whale Alerts In Today's Session,125436641,,AAPL,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=5cb91cef6a885b8bc398b36fdefcdd927c8f919d870ec246fa000a81cb3dc0db,0.0,0.13333333333333333
company,1706699820,'Magnificent 7' Tumble As $300B Vanishes On Bleak AI Earnings: Could The Fed Make Things Worse?,125433816,,AAPL,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=b212bcfcd2a3f55c0a6d29a2e7e37ee5c77466a8537af6b3303d79eab7e3fc64,-0.13333333333333333,0.13333333333333333
